"Classe","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1. Supressão de Vegetação Primária","","7308931","6432726","5749646","4921199","4792157","5116605","4571184","4867557","5387773","4757482","4538400","4461042","4457753","4137785","4061864","4250984","5322253","5082491","4296757","3536595","2932379","2991726","2322873","2188356","2185980","2380982","2644656","2329397","2437064","2365136","2141748","2259905","2985170","2941241","3409599","3608005","2480731"
"2. Supressão de Vegetação Secundária","","","","112426","206150","379203","616211","706388","808803","986157","956465","985613","1091212","1154614","1190023","1144834","1140401","1314600","1350995","1192583","1164543","1145766","1275122","1153011","1210448","1251056","1373612","1488322","1424841","1478782","1472338","1342547","1453311","1588832","1511754","1655177","1934253","957946"
